Schluessel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz Nr;Fassungseigentuemer;OK Terrain;Schachtueberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Foto-Negativ-Nr 1;Foto-Negativ-Nr 2;Foto-Negativ-Nr 3;Fassung;Schutzzone;Anzahl Zuleitungen;Schloss;Aufgenommen durch;Erhebungsdatum;Alte Ordnungs-Nr;Feldbegehung;Objektbereinigung;WVA-Nutzung;WVA-Nutzung ergaenzen;WVA-Nutzung streichen;WVA-Nutzung Lage neu
11;;Schlatt;Sool;8762;;;;A. Tschudi, Schwanden;720;;;aus Plan gelesen;Trinkwasser ?;;;;;;Archiv AFU Glarus;ev weiss alt-Förster J. Marti-Meier bescheid;verfallen, nicht aufgenommen;;;;;;keine vorh.;;;R. Brunner;09.02.1998;11;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
12;Quelle Schütz;Güetli;Sool;8762;726190;206570;209;K. Schütz-Sorg, Dietlikon;575;0;72620601;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Wasseraustritt;sanierungsbedürftig;Schieferplatten;gefasst ohne Schacht;Archiv AFU Glarus;K. Schütz-Sorg, 01/833 19 18;;;14;15;;;keine vorh.;;nein;R. Brunner;09.02.1998;12;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
13;Rüedelibrunnen;Wart;Sool;8762;;;;Tagwen Sool;670;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;verfallen, früher genutzt für Unter Sool --> nicht aufgenommen;;;;;;keine vorh.;;;R. Brunner;09.02.1998;13;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
14;Quelle Grüninger/Schnider/Brig;Wart;Sool;8762;726770;206725;241;Grüninger/Schnider/Briggen;660;0;72620602;aus Plan gelesen;Brauchwasser;Brunnenstock;Sicker-/Zuleitung;schlecht;Betondeckel;Brunnenstube/Sammelschacht;Feldaufnahmen;;Auskunft von Mathias Marti sen.;;11;12;;;keine vorh.;2;nein;R. Brunner;09.02.1998;14;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
15;;Wart;Sool;8762;;;;M. Marti-Marti, Warth;660;;;aus Plan gelesen;im Moment ungenutzt;;;verfallen;;;Archiv AFU Glarus;;verfallen, nicht aufgenommen;;;;;;keine vorh.;;;R. Brunner;09.02.1998;15;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
16;Auli-Quelle;Auli beim Sernf;Sool;8762;727530;206620;267;H. Jenni-Violetti;640;0;72720601;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;schlecht;Betondeckel;Brunnenstube;Archiv AFU Glarus;H. Jenny-Violetti, 644 34 29;ev später Trinkwasser für Haus;;9;10;;;keine vorh.;1;nein;R. Brunner;09.02.1998;16;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
17;Auli-Quelle Wald;Auliwald;Sool;8762;727600;206850;281;J. Marti-Wyss, Warth;815;0;72720602;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;sanierungsbedürftig;Betondeckel;Sammelschacht;Archiv AFU Glarus;J. Marti-Wyss, 644 12 63;4 Häuser + 1 Stall, Wasserqualität lässt gemäss Angaben Hr. J. Marti vom 1.7.2001 seit Strassenbau zu wünschen übrig. Schutzzone und fernhalten von Strassenabwasser von Fassungsbereich ist wünschensw.;;31;;;;erforderlich;1;nein;R. Brunner;09.02.1998;17;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
18;Quelle Cheienwald;Chuewald;Sool;8762;727620;208380;;Gde. Sool;1735;0;72720801;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;sanierungsbedürftig;keine vorh.;Brunnenstube;Archiv AFU Glarus;Förster W. Kessler, 644 41 75;Speisung Alp Achseli;;3;4;5;;keine vorh.;;nein;R. Brunner;09.02.1998;18;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
19;Quelle Tröge;Tröge;Sool;8762;726985;207750;;Tagwen Sool;1380;0;72620701;aus Plan gelesen;Trinkwasser;Wegbrunnen;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Förster W. Kessler, 644 41 75;2 Wegbrunnen;;11;12;13;;keine vorh.;1;nein;R. Brunner;09.02.1998;19;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
20;Quelle äusseres Höfli;äusseres Höfli;Sool;8762;728940;206120;17;S. Altmann, Engi;720;;72820601;aus Plan gelesen;Trinkwasser;;ab Fels;sanierngsbedürftig;Hüttli;;Archiv AFU Glarus;S. Altmann, Engi, 642 12 14;Quelle in Gebäude;;6;7;;;keine vorh.;;;R. Brunner;09.02.1998;20;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
21;;Wilden;Sool;8762;724960;207300;;Firma Weidmann + Co;520;0;;aus Plan gelesen;Trink- + Brauchwasser;Industrie;;;;Pumpschacht;Archiv AFU Glarus;Weidmann + Co, Marco Weidmann, 644 26 77;Grundwasserfassung, ca 300 l/min.--> nicht aufgenommen;;;;;;keine vorh.;1;nein;R. Brunner;09.02.1998;21;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
22;Quellfassung Mühlefuhr;Mühlefuhr;Ennenda;8755;725055;209287;1061;Gde. Ennenda;490;0;72520901;Geometeraufnahmen;Trinkwasser;WV Gemeinde;Stollen;gut;Pilzdeckel;Brunnenstube;Archiv Lienert & Haering AG;Peter Jäger, EW Ennenda;Hauptquelle WV Ennenda;;30;;;;definitiv;1;ja;R. Brunner;09.02.1998;1;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
23;Lediquelle;Ledi;Ennenda;8755;725305;209785;1036;Gde. Ennenda;505;50;72520902;im Feld eingemessen;Brauchwasser;WV Brunnen;Sicker-/Zuleitung;saniert 1992;Pilzdeckel;Brunnenstube;Archiv Lienert & Haering AG;Peter Jäger, EW Ennenda;Ställe Ledi und Matt, div. Brunnen;;28;;;;erforderlich;1;ja;R. Brunner;09.02.1998;2;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
24;Moosquelle;Möösli;Ennenda;8755;725365;209690;1041;Moosbrunnen-Korporation;510;;72520903;aus Plan gelesen;Brauchwasser;WV Stall;Wasseraustritt;sanierungsbedürftig;;gefasst ohne Schacht;Archiv AFU Glarus;Herr J. Tschudi, Matt, Ennenda;Feldbrunnen Mättli, Stallbrunnen Gässlimatt;;29;;;;keine vorh.;;nein;R. Brunner;09.02.1998;3;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
25;Selimattquelle;Seelimatt / Platte;Ennenda;8755;725155;210220;1027;Plattenbrunnen-Korporation;488;0;72521001;aus Plan gelesen;Trinkwasser;Flurbrunnen+Stall;aufstossend;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;WV Ennenda;Stallbrunnen, öffentlicher Brunnen;;27;;;;keine vorh.;;nein;R. Brunner;09.02.1998;4;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
26;Leuenbord-Quelle;Geitzenwald;Ennenda;8755;725390;210780;1147;Geitzenbrunnen-Korporation;700;0;72521002;aus Plan gelesen;Brauchwasser;Stallbrunnen (5);Sicker-/Zuleitung;sanierungsbedürftig;Blech-Deckel;Brunnenstube;Archiv AFU Glarus;EW/WV Ennenda;Stallbrunnen div. Liegensch.ev nur Kontrollschacht;;25;;;;keine vorh.;1;nein;R. Brunner;09.02.1998;5;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
27;Kaltbachquelle;Aeugstenwald;Ennenda;8755;726715;210280;1147;Gde. Ennenda;1500;;72621001;aus Plan gelesen;im Moment ungenutzt;Bach;Wasseraustritt;;;;Archiv AFU Glarus;;;;4;;;;keine vorh.;;;R. Brunner;10.02.1998;6;06.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
28;Aeugstenquelle für Hütte;Aeugsten;Ennenda;8755;726815;209830;1147;Gde. Ennenda;1500;10;72620901;aus Plan gelesen;Trinkwasser;Alpwirtschaft;Aufstossend;gut;Brinerdeckel;Brunnenstube;Archiv AFU Glarus;Tagwen Ennenda, A. Peter, Hüttenwart Aeugstenhütte;Nutzung in Aeugstenhütte (öffentlich)+ 2 Brunnen;;1;2;;;keine vorh.;0;ja;R. Brunner;10.02.1998;7;06.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
29;Hüttenrainquelle;Alp Beglingen;Ennenda;8755;727680;210820;1147;Gde. Ennenda;1800;;72721001;aus Plan gelesen;Brauchwasser;Alpbrunnen;;;;;Archiv AFU Glarus;Tagwen Ennenda;;;;;;;keine vorh.;;;R. Brunner;10.02.1998;8;;;WAHR;WAHR;FALSCH;FALSCH
30;Tagwens-Grossbergquelle;Grossberg;Ennenda;8755;725305;213110;1087;Grossbergbrunnen-Korporation;1250;0;72521301;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube/Sammelschacht;Archiv AFU Glarus;Tagwen Ennenda, Gemeindekanzlei;;;5;6;;;erforderlich;4;nein;R. Brunner;10.02.1998;9;05.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
31;Grossbergquelle;Grossberg;Ennenda;8755;725280;213150;1092;Mercier;1260;0;72521302;aus Plan gelesen;Trinkwasser;WV Einzelligenschaft;Sicker-/Zuleitung;schlecht;Eisendeckel;Brunnenstube/Sammelschacht;Archiv AFU Glarus;Zimmermann Melchior, Grossberg Ennenda;;;7;8;;;keine vorh.;1;ja;R. Brunner;10.02.1998;10;05.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
32;Elmerplätzquelle;Elmer (Alp);Ennenda;8755;725670;213100;1146;J. Tschudi, Stoffel;1405;0;72521303;aus Plan gelesen;Trinkwasser;WV Einzelligenschaft;Sicker-/Zuleitung;gut;Stahlblech-Deckel;Brunnenstube;Archiv AFU Glarus;J. Tschudi, Stoffel Ennenda;Haus, Stallbrunnen, Brunnen;;17;18;;;keine vorh.;2;nein;R. Brunner;10.02.1998;11;05.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
33;Elmerbordquelle;;Ennenda;8755;725630;213535;1089;Neuer Skiclub, Glarus;1350;0;72521304;aus Plan gelesen;Trinkwasser;WV Einzelligenschaft;ab Fels;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;NSCG, c/o Präsident Ernst Lisch, Mattstrasse 1, En;Skihütte Neuer SC Glarus;;21;22;;;keine vorh.;3;nein;R. Brunner;10.02.1998;12;05.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
34;Ober Bützi-Quelle;Heuboden ob. Stafel;Ennenda;8755;727000;212960;1385;Gebr. J. + B. Tschudi;1920;;;aus Plan gelesen;Brauchwasser;Alpbrunnen;;;;;Archiv AFU Glarus;J.Tschudi, Stoffel, Ennetberge Ennenda;;;;;;;keine vorh.;;;R. Brunner;10.02.1998;13;;;FALSCH;FALSCH;FALSCH;FALSCH
35;Mittelstafel-Quelle;Heuplange;Ennenda;8755;726065;213035;1146;Gebr. J. + B. Tschudi;1510;0;72621301;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;schlecht;Eisendeckel;Brunnenstube;Archiv AFU Glarus;J.Tschudi, Stoffel, Ennetberge Ennenda;Alphütte Mittler Stafel und Brunnen, Ferienhaus Oehler;;23;24;;;keine vorh.;1;nein;R. Brunner;10.02.1998;14;05.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
36;Bachseliquelle;Bachselirunse;Ennenda;8755;723900;212660;5;Bachselibrunnen-Korporation;585;;72321201;aus Plan gelesen;Brauchwasser;Stallbrunnen;Sicker-/Zuleitung;gut;Türe;Stollen;Archiv AFU Glarus;WV Ennenda;div. Ställe;;24;;;;keine vorh.;2;ja;R. Brunner;10.02.1998;15;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
37;Mattquelle;Othschlag;Ennenda;8755;724610;212990;1081;Ottschlag-Korporation;975;0;72421201;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Türe;Brunnenstube;Archiv AFU Glarus;Fridolin Horner-Rhyner Ennenda;Rest. Alpenblick, 2 Bauernhöfe, Brunnen;;1;2;;;erforderlich;1;ja;R. Brunner;10.02.1998;16;05.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
38;Burgetsiten-Quelle;Burgetsiten;Ennenda;8755;724820;213840;1097;Alpbach-Brunnenkorporation;1030;0;72421303;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier Matten;Wasseraustritt;sanierungsbedürftig;Eisendeckel;Brunnenstube;Archiv AFU Glarus;F. Tschudi-Aschwanden, Ennenda;;;36;;;;erforderlich;0;nein;R. Brunner;10.02.1998;17;06.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
39;;Oberdorf;Ennenda;8755;;;;;485;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;;;;;;;keine vorh.;;;R. Brunner;10.02.1998;18;;06.05.1998;FALSCH;FALSCH;FALSCH;FALSCH
40;Kängel-Quelle;Burgetsiten;Ennenda;8755;724820;213850;1111;Josef Weber, Kängel;1030;0;72421302;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Stollen;sanierungsbedürftig;Türe;Brunnenstube;Archiv AFU Glarus;Josef Weber, Kängel Ennenda;;;35;36;;;keine vorh.;0;nein;R. Brunner;10.02.1998;19;06.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
41;Trogen-Quelle;Bützibrunnen;Ennenda;8755;724685;212840;1070;Tagwen Ennenda;1030;20;72421202;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;WV Gemeinde Ennenda;;;3;4;;;keine vorh.;1;nein;R. Brunner;20.02.1998;20;05.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
42;Ribi-Quelle;Ribi;Ennenda;8755;724970;214070;1117;Hösle Peter, Egg;1130;0;72421401;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Wasseraustritt;sanierungsbedürftig;Blech-Deckel;Brunnenstube;Archiv AFU Glarus;"Hösle Peter, Egg; Hefti Paul (Alpenblick)";;;32;;;;keine vorh.;0;nein;R. Brunner;20.02.1998;21;06.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
43;Höckli-Quelle;Milchbach;Ennenda;8755;;;;Buhlenkorporation;590;;;aus Plan gelesen;Stallbrunnen;ausser Betrieb;;;;;Archiv AFU Glarus;;;;;;;;keine vorh.;;;R. Brunner;20.02.1998;22;;06.05.1998;FALSCH;FALSCH;FALSCH;FALSCH
44;;Oberdorf;Ennenda;8755;;;;;510;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;;;;;;;keine vorh.;;;R. Brunner;20.02.1998;23;;06.05.1998;FALSCH;FALSCH;FALSCH;FALSCH
45;;Oberdorf;Ennenda;8755;;;;;520;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;;;;;;;keine vorh.;;;R. Brunner;20.02.1998;24;;06.05.1998;FALSCH;FALSCH;FALSCH;FALSCH
46;Läbli-Quelle;Mittlerer Fronalp;Ennenda;8755;726330;213940;1353;Gde. Mollis;1580;0;72621303;im Feld eingemessen;Trinkwasser;WV Weiler/Quartier/Rest. (Fronalp/Mollis);Sicker-/Zuleitung;gut;Türe;Brunnenstube;Archiv Lienert & Haering AG;Tagwen Mollis;;;19;20;;;definitiv;1;ja;R. Brunner;10.02.1998;25;28.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
47;;Oberdorf;Ennenda;8755;;;;;515;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;;;;;;;keine vorh.;;;R. Brunner;10.02.1998;26;;06.05.1998;FALSCH;FALSCH;FALSCH;FALSCH
48;;Oberdorf;Ennenda;8755;;;;;505;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;;;;;;;keine vorh.;;;R. Brunner;10.02.1998;27;;06.05.1998;FALSCH;FALSCH;FALSCH;FALSCH
49;Sööliquelle;Sööli;Mitlödi;8756;724270;208965;19;Gde. Mitlödi;640;0;72420801;aus Plan gelesen;Brauchwasser;2 Ställe;Wasseraustritt;sanierngsbedürftig;Holz;Brunnenstube;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;Schüttung klein;;25;;;;keine vorh.;0;nein;R. Brunner;10.02.1998;1;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
50;Obere Sienenquelle;Leimplangge;Schwanden;8762;721815;207500;;Gde. Mitlödi;1320;0;72120701;aus Plan gelesen;Trinkwasser;WV Gemeinde Mitlödi;Sicker-/Zuleitung;gut;Gussdeckel;Brunnenstube;Archiv AFU Glarus;F. Zimmermann, Werkführer, Mitlödi;;;29;30;;;definitiv;1;nein;R. Brunner;10.02.1998;2;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
51;Untere Sienenquelle;Leimplangge;Schwanden;8762;721880;207500;;Gde. Mitlödi;1300;0;72120702;aus Plan gelesen;Trinkwasser;WV Gemeinde Mitlödi;Sicker-/Zuleitung;mittel-gut;Gussdeckel;Brunnenstube;Archiv AFU Glarus;F. Zimmermann, Werkführer, Mitlödi;;;27;28;;;definitiv;1;nein;R. Brunner;10.02.1998;3;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
52;Wygellen-Quelle;Sattel;Schwändi;8762;723415;207225;346;Ennetecken-Wygellen Wasserkorporation;890;0;72320703;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv Lienert & Haering AG;W. Traxel, Werkführer, Schwändi;;;33;34;;;definitiv;2;ja;R. Brunner;10.02.1998;1;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
53;Gehren-Blumerberg-Quelle;Blumerberg;Schwändi;8762;722910;207600;309;Schüpfenbrunnenkorporation;760;0;72220701;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Gussdeckel;Brunnenstube;Archiv AFU Glarus;W. Traxel, Werkführer Schwändi;(nach LMI: WV Mitlödi, Notwasser???);;31;32;;;erforderlich;1;ja;M. Simmler;10.02.1998;2;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
54;Mühle-Quelle;Müli;Mitlödi;8756;725120;208200;400;J. Hüsler-Seiler;490;;72520801;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;GW-Aufstoss;;;;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;Haus/Fischzucht;;22;;;;keine vorh.;;;R. Brunner;10.02.1998;6;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
55;Wiesbach-Quelle;Wies;Mitlödi;8756;724610;207745;487;öffentlich;504;;72420701;aus Plan gelesen;im Moment ungenutzt;Bach;Wasseraustritt;;;ungefasst;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;;;20;;;;keine vorh.;;;R. Brunner;10.02.1998;7;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
56;;Tschachen;Mitlödi;8756;;;;Kanton/Schatzkorporation;500;;;aus Plan gelesen;im Moment ungenutzt;;aufstossend;;;;Archiv AFU Glarus;;Gemäss Dr. Marti AfU Glarus gestrichen;;;;;;keine vorh.;;;R. Brunner;10.02.1998;8;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
57;Quelle Ennetlinth;Ennetlinth;Mitlödi;8756;724925;207697;371;Gemeinde;500;;72420702;aus Plan gelesen;im Moment ungenutzt;;Wasseraustritt;;;ungefasst;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;;;21;;;;keine vorh.;;;R. Brunner;10.02.1998;9;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
58;Quelle bei Mülifuhr;;Mitlödi;8756;;;;;500;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;Gemäss Dr. Marti AfU Glarus gestrichen;;;;;;keine vorh.;;;R. Brunner;10.02.1998;10;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
59;Quellaustritt Hausliruns;;Mitlödi;8756;;;;;520;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;Gemäss Dr. Marti AfU Glarus gestrichen;;;;;;keine vorh.;;;R. Brunner;10.02.1998;11;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
60;Quellaustritt Linthbord;;Mitlödi;8756;;;;;500;;;aus Plan gelesen;;;;;;;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;Gemäss Hr Zimmermann nicht vorhanden;;;;;;keine vorh.;;;R. Brunner;10.02.1998;12;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
61;Quelle Tschudi;Schwizerhus;Mitlödi;8756;724295;209910;15;F. Tschudi;520;0;72420901;aus Plan gelesen;Trinkwasser;WV Einzelligenschaft;Wasseraustritt;sanierngsbedürftig;Holzbretter/Blech;Brunnenstube;Archiv AFU Glarus;F. Tschudi-Tschudi, Schweizerhaus, Ennenda;;;23;24;;;keine vorh.;0;ja;R. Brunner;10.02.1998;13;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
62;Quelle Brunnen;;Mitlödi;8756;;;;;500;;;aus Plan gelesen;;;;;;;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;Gemäss Hr. Zimmermann nicht vorhanden;;;;;;keine vorh.;;;R. Brunner;10.02.1998;14;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
63;Ennetrösligen-Quelle;Ennetrösligen;Ennenda;8755;724840;211130;41;Tagwen Ennenda;550;;72421101;aus Plan gelesen;Brauchwasser;Flurbrunnen;unbekannt;unbekannt;vermutlich Stahlblech-Deckel;überdeckt;;Tagwen Ennenda;;;26;;;;keine vorh.;;nein;R. Brunner;09.02.1998;40;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
64;Schwändiberg-Quelle;Schwändi;Ennenda;8755;725020;213640;1097;R. Staub;1145;0;72521313;im Feld eingemessen;Trinkwasser;WV Einzelliegenschaft;ab Fels;gut;Eisendeckel;Brunnenstube;Feldaufnahmen;R. Staub Ennenda;;;30;31;;;keine vorh.;;;R. Brunner;09.03.1998;39;05.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
65;Elmer / Branzi;Elmerberg;Ennenda;8755;725570;213145;1089;F. Schiesser;1370;10;72521309;aus Plan gelesen;Trinkwasser;WV Einzelligenschaft;;gut;Eisendeckel;Brunnenstube;WV Ennenda;F. Schiesser, Poststrasse, Ennenda;frisch gefasst;;15;16;;;keine vorh.;;ja;R. Brunner;09.03.1998;38;05.05.1998;;WAHR;FALSCH;FALSCH;FALSCH
